Date,BHP,CSL,NAB,TCL,TLS
1/07/2022,35.47,264.19,26.01,13.9,3.67
4/07/2022,35.34,269.66,26.23,13.81,3.72
5/07/2022,35.42,273.72,26.14,13.66,3.72
6/07/2022,33.44,280.77,26.61,13.65,3.77
7/07/2022,34.49,281.63,26.61,13.58,3.72
8/07/2022,34.73,281.97,26.58,13.7,3.69
11/07/2022,33.65,282.6,26.26,13.6,3.72
12/07/2022,33.18,287.21,26.6,13.64,3.69
13/07/2022,32.7,288.31,26.9,13.77,3.73
14/07/2022,33.12,290.66,26.76,13.73,3.76
15/07/2022,31.97,293.65,26.9,13.73,3.77
18/07/2022,32.74,291.11,27.42,13.72,3.78
19/07/2022,32.42,285.22,27.82,13.76,3.76
20/07/2022,32.87,285.78,28.03,13.73,3.78
21/07/2022,32.58,289.71,28.04,13.54,3.84
22/07/2022,32.55,287.98,28.25,13.46,3.79
25/07/2022,33.08,285.55,28.24,13.68,3.75
26/07/2022,33.89,281.38,28.1,13.53,3.77
27/07/2022,33.23,286.37,28.49,13.79,3.75
28/07/2022,33.94,285.95,28.68,13.77,3.73
29/07/2022,34.26,284.41,28.93,13.91,3.72
1/08/2022,34.63,289.39,28.91,14.11,3.8
2/08/2022,34.17,291.29,29.27,14.11,3.8
3/08/2022,34.19,291.2,29.1,14.06,3.78
4/08/2022,33.8,289.08,29.21,14.12,3.83
5/08/2022,34.37,291.2,29.22,14.06,3.86
8/08/2022,34.65,290.11,29.04,13.95,3.83
9/08/2022,34.38,291.41,28.18,14,3.85
10/08/2022,33.92,286.88,28.57,13.96,3.84
11/08/2022,34.67,289.58,28.87,13.94,3.79
12/08/2022,34.39,287.37,29.1,13.8,3.83
15/08/2022,34.47,287.75,29.13,13.9,3.85
16/08/2022,35.88,290.85,29.35,14.02,3.92
17/08/2022,36.18,287.02,29.61,14.06,3.91
18/08/2022,36.44,293.6,29.71,13.58,3.92
19/08/2022,36.8,289.15,29.23,13.56,3.94
22/08/2022,36.62,290.1,28.87,13.55,3.97
23/08/2022,36.72,284.38,28.31,13.4,3.95
24/08/2022,37.12,283.23,28.37,13.35,3.86
25/08/2022,37.36,284.4,28.65,13.35,3.86
26/08/2022,37.91,289.97,28.94,13.31,3.86
29/08/2022,37.36,288.73,28.21,13.31,3.83
30/08/2022,36.97,288.4,28.35,13.4,3.82
31/08/2022,35.96,288.05,28.92,13.39,3.81
1/09/2022,35.45,288.29,28.65,13.28,3.79
2/09/2022,34.72,290.45,28.87,13.23,3.78
5/09/2022,35.83,289.28,28.69,13.24,3.73
6/09/2022,35.22,290.23,28.59,13.15,3.73
7/09/2022,34.28,289.65,27.71,13.04,3.76
8/09/2022,34.89,295.77,28,13.28,3.78
9/09/2022,36,294.81,28.22,13.27,3.76
12/09/2022,37.24,292.5,28.35,13.31,3.78
13/09/2022,37.14,291.31,28.63,13.33,3.82
14/09/2022,36.48,285.91,27.75,12.85,3.72
15/09/2022,36.61,283.92,28.19,12.82,3.7
16/09/2022,35.95,282.16,28.33,12.5,3.65
19/09/2022,35.73,279.35,28.08,12.62,3.63
20/09/2022,37.03,279.4,28.57,12.73,3.64
21/09/2022,35.87,277.53,28.19,12.51,3.68
23/09/2022,36.07,274.57,27.75,12.38,3.61
26/09/2022,34.21,281.16,27.75,12.5,3.61
27/09/2022,35.15,280.99,27.65,12.44,3.57
28/09/2022,35.2,278.73,27.41,12.45,3.66
29/09/2022,36.07,283.06,27.67,12.47,3.72
30/09/2022,36.4,281.36,27.24,11.83,3.69
3/10/2022,36.48,279.63,27.16,11.87,3.68
4/10/2022,37.87,283.71,28.24,12.23,3.69
5/10/2022,38.27,286.77,28.85,12.33,3.69
6/10/2022,38.52,286.48,28.62,12.35,3.71
7/10/2022,37.86,285.14,28.5,12.13,3.68
10/10/2022,37.87,279.59,28.02,12.03,3.66
11/10/2022,37.73,279.23,27.88,12.09,3.67
12/10/2022,37.37,276.11,28.25,12.04,3.66
13/10/2022,37.07,272.88,28.92,11.93,3.64
14/10/2022,37.82,276.83,29.39,12.03,3.68
17/10/2022,36.94,273.28,29.1,11.78,3.63
18/10/2022,37.45,272.16,29.53,12.03,3.69
19/10/2022,37.09,273.41,29.93,12.16,3.72
20/10/2022,36.24,268.15,30.15,12.03,3.69
21/10/2022,35.98,264.07,29.69,11.83,3.63
24/10/2022,36.91,269.55,29.91,12.02,3.65
25/10/2022,36.38,272.46,30.21,12.09,3.71
26/10/2022,36.42,271.78,30.32,12.3,3.73
27/10/2022,37.29,272.41,30.16,12.46,3.69
28/10/2022,35.42,270.73,30.25,12.73,3.7
31/10/2022,35.31,276.88,30.65,12.72,3.76
1/11/2022,36.31,279.63,30.92,12.91,3.77
2/11/2022,37.08,279.08,30.95,12.9,3.73
3/11/2022,35.89,274.77,30.4,12.85,3.78
4/11/2022,36.44,272.06,30.37,12.95,3.74
7/11/2022,38.25,273.6,30,12.99,3.76
8/11/2022,38.13,277.1,30.21,13.07,3.78
9/11/2022,38.92,276.02,29.93,13.07,3.77
10/11/2022,38.33,279.1,29.31,13.01,3.8
11/11/2022,39.78,288.54,29.64,13.37,3.84
14/11/2022,41.59,282.87,29.56,12.96,3.7
15/11/2022,41.52,287.02,29.57,13.01,3.72
16/11/2022,42.01,285.69,29.39,13.05,3.68
17/11/2022,41.39,289.57,29.67,13.21,3.72
18/11/2022,41.52,290.62,29.73,13.35,3.78
21/11/2022,40.59,293.15,29.89,13.62,3.75
22/11/2022,41.09,293.51,30.03,13.44,3.77
23/11/2022,41.51,293.88,30.35,13.57,3.8
24/11/2022,42.1,295.16,30.28,13.62,3.78
25/11/2022,41.77,295.87,30.53,13.69,3.84
28/11/2022,41.48,296.49,30.63,13.66,3.85
29/11/2022,42.36,298.7,30.73,13.61,3.84
30/11/2022,43.02,296.26,30.58,13.7,3.82
1/12/2022,43.92,294.83,30.72,13.7,3.82
2/12/2022,43.24,298.02,30.43,13.57,3.84
5/12/2022,44.24,296.15,30.31,13.4,3.85
6/12/2022,44,296.93,30.09,13.45,3.86
7/12/2022,44.04,295.35,29.72,13.2,3.85
8/12/2022,43.69,293.68,29.21,13.37,3.83
9/12/2022,44.87,294.63,29.27,13.31,3.84
12/12/2022,44.22,294.37,29.27,13.23,3.84
13/12/2022,43.55,293.23,29.86,13.43,3.86
14/12/2022,43.76,295.47,29.78,13.48,3.91
15/12/2022,43.41,293.36,29.86,13.43,3.91
16/12/2022,43.16,287.94,29.48,13.35,3.88
19/12/2022,43.46,284.71,29.34,13.21,3.88
20/12/2022,42.77,282.25,29.36,13.08,3.87
21/12/2022,43.78,283.61,29.34,13.13,3.85
22/12/2022,43.71,287.04,29.59,13.14,3.85
23/12/2022,43.62,285.29,29.46,13.08,3.87
28/12/2022,43.97,281.91,29.3,12.86,3.85
29/12/2022,43.27,282.03,29.01,12.77,3.82
30/12/2022,43.12,284.07,29.15,12.7,3.83
3/01/2023,42.84,278.14,28.53,12.53,3.79
4/01/2023,43.51,280.36,28.8,12.66,3.81
5/01/2023,43.52,276.91,29.03,12.86,3.81
6/01/2023,44.9,274.71,28.86,12.86,3.81
9/01/2023,45.36,273.45,29.09,13.01,3.81
10/01/2023,45.17,272.09,29.02,12.96,3.8
11/01/2023,45.84,274.5,29.15,12.96,3.81
12/01/2023,46.66,277.8,29.87,13.04,3.85
13/01/2023,46.91,279.35,30.35,13.19,3.85
16/01/2023,46.96,283.24,30.69,13.36,3.85
17/01/2023,46.44,286.83,30.71,13.31,3.92
18/01/2023,46.38,289.07,30.71,13.25,3.92
19/01/2023,46.95,291.46,30.75,13.44,3.98
20/01/2023,47.2,295.18,30.64,13.49,3.94
23/01/2023,46.68,294.54,30.55,13.44,3.91
24/01/2023,46.98,293.99,30.39,13.45,3.92
25/01/2023,46.53,292.32,30.53,13.41,3.91
27/01/2023,46.82,290.92,30.83,13.42,3.92
30/01/2023,46.52,289.24,30.86,13.46,3.94
31/01/2023,46.66,294.26,30.83,13.51,3.91
1/02/2023,46.83,297.65,30.77,13.64,3.98
2/02/2023,46.16,300.67,30.54,13.75,3.95
3/02/2023,45.28,309.78,30.93,13.87,3.98
6/02/2023,45.55,307.92,30.91,13.73,3.97
7/02/2023,45.37,304.12,30.77,13.65,3.95
8/02/2023,45.46,302.27,31.09,13.75,3.94
9/02/2023,45.47,301.32,30.98,13.73,3.94
10/02/2023,45.36,301.05,30.72,13.67,3.9
13/02/2023,45.24,301.1,30.43,13.66,3.93
14/02/2023,45.1,303.8,30.65,13.65,3.97
15/02/2023,45.3,301,29.39,13.63,3.97
16/02/2023,45.47,299.1,29.58,13.84,4.05
17/02/2023,45.36,294.57,28.94,13.76,4.04
20/02/2023,45.8,294.57,29.38,13.78,4.04
21/02/2023,45.64,294.61,29.19,13.76,3.99
22/02/2023,45.68,291.91,29.15,13.76,3.98
23/02/2023,44.12,294.9,28.86,13.78,4
24/02/2023,43.41,295.64,28.94,13.81,4.01
27/02/2023,42.1,293.97,29.08,13.81,3.99
28/02/2023,42.71,292.5,29.09,13.87,3.99
1/03/2023,43.68,289.09,28.49,13.73,3.95
2/03/2023,45.41,288.06,27.96,13.62,3.95
3/03/2023,45.66,289.26,28.27,13.64,4
6/03/2023,45.73,290.72,28.59,13.69,3.99
7/03/2023,45.29,293.09,28.81,13.77,4.01
8/03/2023,45.01,293.29,28.56,13.77,4.03
9/03/2023,45.33,288.35,28.98,13.83,4.05
10/03/2023,43.79,283.93,28.12,13.9,4.03
13/03/2023,44.59,281.13,27.67,13.91,3.99
14/03/2023,43.81,277.06,27.25,13.87,3.96
15/03/2023,44.32,281.99,27.45,14.07,3.98
16/03/2023,42.21,287.14,26.98,14.1,4.01
17/03/2023,42.21,285.13,27.42,13.86,4.03
20/03/2023,41.79,282.79,27.01,13.8,4.05
21/03/2023,42.35,282.88,27.16,13.91,4.03
22/03/2023,42.65,285.37,27.2,13.9,4.08
23/03/2023,42.33,286.04,26.79,13.89,4.1
24/03/2023,42.46,286.35,26.36,13.82,4.08
27/03/2023,42.37,286.8,26.58,13.81,4.12
28/03/2023,43.2,282.89,26.82,13.69,4.1
29/03/2023,43.78,281.45,26.22,13.7,4.12
30/03/2023,44.83,283.38,26.83,13.9,4.11
31/03/2023,45.95,286.16,26.88,13.9,4.13
3/04/2023,45.7,288.75,27.06,13.98,4.13
4/04/2023,44.69,289.31,27.22,14.07,4.16
5/04/2023,44.01,291.42,27.19,14.24,4.17
6/04/2023,43.83,297.95,27.03,14.31,4.18
11/04/2023,44.73,299.51,27.39,14.28,4.2
12/04/2023,45.57,301.64,27.26,14.43,4.18
13/04/2023,45.14,299.94,27.28,14.4,4.16
14/04/2023,45.19,299.17,27.6,14.42,4.18
17/04/2023,45.35,299.62,27.8,14.47,4.18
18/04/2023,45.32,298.01,27.89,14.44,4.17
19/04/2023,45.99,297.48,27.74,14.42,4.18
20/04/2023,44.81,297.65,28.22,14.47,4.19
21/04/2023,43.8,299.51,27.9,14.48,4.2
24/04/2023,42.97,302.08,27.92,14.61,4.21
26/04/2023,42.81,303.45,27.97,14.86,4.24
27/04/2023,43.13,301.75,27.86,14.81,4.26
28/04/2023,43.2,298.35,27.97,14.66,4.28
1/05/2023,42.98,300.19,28.3,14.6,4.29
2/05/2023,42.45,299.47,28.21,14.32,4.19
3/05/2023,42.1,297.37,27.68,14.18,4.22
4/05/2023,42.78,297.88,25.91,14.36,4.24
5/05/2023,42.85,298.82,25.77,14.41,4.24
8/05/2023,43.51,299.04,26.28,14.37,4.24
9/05/2023,43.26,297.6,26.53,14.49,4.24
10/05/2023,43.24,300.95,26.26,14.46,4.22
11/05/2023,42.81,299.76,26.37,14.48,4.23
12/05/2023,42.3,304.09,26.41,14.52,4.23
15/05/2023,42.66,305.53,26.46,14.61,4.26
16/05/2023,42.88,301.95,26.46,14.53,4.25
17/05/2023,42.53,301.96,26.19,14.47,4.26
18/05/2023,43.04,300.58,26.4,14.42,4.24
19/05/2023,42.96,302.19,26.8,14.3,4.28
22/05/2023,43,304.96,26.57,14.37,4.25
23/05/2023,42.61,306.91,26.67,14.28,4.26
24/05/2023,41.66,303.35,26.61,14.27,4.26
25/05/2023,41.01,304.03,26.04,14.27,4.24
26/05/2023,41.59,301.93,26.23,14.27,4.27
29/05/2023,42.18,305.83,26.57,14.41,4.27
30/05/2023,42.31,305.96,26.52,14.39,4.3
31/05/2023,40.88,304.12,25.97,14.52,4.27
1/06/2023,40.93,307.99,26.04,14.34,4.3
2/06/2023,42.08,305.72,25.79,14.3,4.25
5/06/2023,42.81,308.43,26.05,14.33,4.28
6/06/2023,42.42,305.44,25.76,14.13,4.23
7/06/2023,42.44,306.57,25.3,14,4.24
8/06/2023,42.93,303.48,25.16,13.93,4.23
9/06/2023,43.51,303.04,25.2,14.01,4.22
13/06/2023,43.09,306.23,25.22,14.04,4.25
14/06/2023,44.65,285.12,25.51,13.96,4.26
15/06/2023,45,277.43,25.65,14.03,4.25
16/06/2023,45.16,275.8,25.85,14.13,4.25
19/06/2023,44.85,282.33,26.06,14.31,4.29
20/06/2023,45.45,281.4,26.5,14.32,4.33
21/06/2023,44.97,281.52,26.53,14.17,4.33
22/06/2023,43.9,279.9,26.15,13.99,4.25
23/06/2023,43.39,279.91,25.78,13.91,4.23
26/06/2023,43.24,277.92,25.57,14,4.22
27/06/2023,43.89,276.98,25.75,14.04,4.2
28/06/2023,44.19,276.29,26.25,14.18,4.25
29/06/2023,43.73,276.24,26.35,14.19,4.23
30/06/2023,43.77,275.32,26.37,14.25,4.21
